"Serie","Periodo","Personas_debajo_del_50%_de_la_mediana_de_ingresos|Nacional","Personas_debajo_del_50%_de_la_mediana_de_ingresos|Población_rural","Personas_debajo_del_50%_de_la_mediana_de_ingresos|Población_urbana","Personas_debajo_del_50%_de_la_mediana_de_ingresos|Hombres","Personas_debajo_del_50%_de_la_mediana_de_ingresos|Mujeres","Personas_debajo_del_50%_de_la_mediana_de_ingresos|Niñas,_niños_y_adolescentes_(0_a_17_años)","Personas_debajo_del_50%_de_la_mediana_de_ingresos|Jóvenes_(18_a_29_años)","Personas_debajo_del_50%_de_la_mediana_de_ingresos|Personas_adultas_(30_a_64_años)","Personas_debajo_del_50%_de_la_mediana_de_ingresos|Personas_adultas_mayores_(65_años_o_más)","Personas_debajo_del_50%_de_la_mediana_de_ingresos|Personas_con_discapacidad","Personas_debajo_del_50%_de_la_mediana_de_ingresos|Personas_indígenas",
"Población_que_vive_por_debajo_del_50%_de_la_mediana_de_los_ingresos,_desglosada_por_sexo,_edad_y_personas_con_discapacidad","2022","20,056.233","10,156.388","9,899.845","9,408.748","10,647.485","8,067.894","3,060.085","7,387.103","1,541.151","1,527.61","5,155.696",
"Población_que_vive_por_debajo_del_50%_de_la_mediana_de_los_ingresos,_desglosada_por_sexo,_edad_y_personas_con_discapacidad","2020","21,831.288","9,653.214","12,178.074","10,332.422","11,498.866","8,389.349","3,750.397","8,062.402","1,629.14","1,551.457","5,113.436",
"Población_que_vive_por_debajo_del_50%_de_la_mediana_de_los_ingresos,_desglosada_por_sexo,_edad_y_personas_con_discapacidad","2018","20,924.454","11,189.413","9,735.041","10,016.243","10,908.211","8,604.188","3,319.124","7,054.353","1,946.789","ND","5,120.243",
"Población_que_vive_por_debajo_del_50%_de_la_mediana_de_los_ingresos,_desglosada_por_sexo,_edad_y_personas_con_discapacidad","2016","20,976.442","10,925.958","10,050.484","9,980.455","10,995.987","8,870.707","3,310.667","7,106.521","1,688.547","ND","5,065.017",
