objetivo_clave,objetivo_desc,meta_clave,meta_codigo,meta_desc,indicador_clave,indicador_codigo,indicador_desc,clave_serie,num_registros,tiene_valores,tipo,desglose_geo
ODS0010,Fin de la pobreza,ODS00100028,Meta 1.4.,"De aquí a 2030, garantizar que todos los hombres y mujeres, en particular los pobres y los vulnerables, tengan los mismos derechos a los recursos económicos y acceso a los servicios básicos, la propiedad y el control de la tierra y otros bienes, la herencia, los recursos naturales, las nuevas tecnologías apropiadas y los servicios financieros, incluida la microfinanciación",ODS001000280020,1.4.2,"Proporción del total de la población adulta con derechos seguros de tenencia de la tierra que posee documentación reconocida legalmente al respecto, desglosada por sexo y tipo de tenencia",1355,297,True,Global,Desglose por entidad federativa
ODS0010,Fin de la pobreza,ODS00100029,Meta 1.5,"De aquí a 2030, fomentar la resiliencia de los pobres y las personas que se encuentran en situaciones de vulnerabilidad y reducir su exposición y vulnerabilidad a los fenómenos extremos relacionados con el clima y otras perturbaciones y desastres económicos, sociales y ambientales",ODS001000290010,1.5.1,"Número de personas muertas, desaparecidas y afectadas directamente atribuido a desastres por cada 100 000 habitantes",990,25,True,Global,Sin desglose geográfico
ODS0010,Fin de la pobreza,ODS00100029,Meta 1.5,"De aquí a 2030, fomentar la resiliencia de los pobres y las personas que se encuentran en situaciones de vulnerabilidad y reducir su exposición y vulnerabilidad a los fenómenos extremos relacionados con el clima y otras perturbaciones y desastres económicos, sociales y ambientales",ODS001000290020,1.5.4,Proporción de gobiernos locales que adoptan y aplican estrategias locales de reducción del riesgo de desastres en consonancia con las estrategias nacionales de reducción del riesgo de desastres,2224,3,True,Global,Sin desglose geográfico
ODS0010,Fin de la pobreza,ODS00100039,Meta 1.a,"Garantizar una movilización significativa de recursos procedentes de diversas fuentes, incluso mediante la mejora de la cooperación para el desarrollo, a fin de proporcionar medios suficientes y previsibles a los países en desarrollo, en particular los países menos adelantados, para que implementen programas y políticas encaminados a poner fin a la pobreza en todas sus dimensiones",ODS001000390010,1.a.1,Total de las subvenciones de asistencia oficial para el desarrollo de todos los donantes que se centran en la reducción de la pobreza como porcentaje del ingreso nacional bruto del país receptor,2215,4,True,Global,Sin desglose geográfico
ODS0010,Fin de la pobreza,ODS00100039,Meta 1.a,"Garantizar una movilización significativa de recursos procedentes de diversas fuentes, incluso mediante la mejora de la cooperación para el desarrollo, a fin de proporcionar medios suficientes y previsibles a los países en desarrollo, en particular los países menos adelantados, para que implementen programas y políticas encaminados a poner fin a la pobreza en todas sus dimensiones",ODS001000390020,1.a.2,"Proporción del gasto público total en servicios esenciales (educación, salud y protección social)",787,15,True,Global,Sin desglose geográfico
ODS0010,Fin de la pobreza,ODS00100062,1n.1,"Pobreza multidimensional por grupos en condiciones de desventaja (desagregación por personas indígenas, adultos mayores, personas con discapacidad, niños y niñas (menores de 18 años) y primera infancia (0 a 5 años) basada en el enfoque de derechos",ODS001000620010,1n.1.1,Porcentaje de la población en situación de pobreza,1590,96,True,Nacional,Sin desglose geográfico
ODS0010,Fin de la pobreza,ODS00100062,1n.1,"Pobreza multidimensional por grupos en condiciones de desventaja (desagregación por personas indígenas, adultos mayores, personas con discapacidad, niños y niñas (menores de 18 años) y primera infancia (0 a 5 años) basada en el enfoque de derechos",ODS001000620020,1n.1.1.a,"Porcentaje de la población en situación de pobreza, por desglose geográfico y grupo poblacional (Entidad federativa)",1722,1320,True,Nacional,Desglose por entidad federativa
ODS0010,Fin de la pobreza,ODS00100062,1n.1,"Pobreza multidimensional por grupos en condiciones de desventaja (desagregación por personas indígenas, adultos mayores, personas con discapacidad, niños y niñas (menores de 18 años) y primera infancia (0 a 5 años) basada en el enfoque de derechos",ODS001000620030,1n.1.1.b,"Porcentaje de la población en situación de pobreza, por desglose geográfico y grupo poblacional (Municipio o demarcación territorial)",1725,75090,True,Nacional,Desglose por entidad federativa y municipio
ODS0010,Fin de la pobreza,ODS00100075,Meta 1n.2,Atención integral en la primera infancia,ODS001000750010,1n.2.1,Proporción de partos con asistencia de personal sanitario capacitado,89,1122,True,Nacional,Desglose por entidad federativa
ODS0010,Fin de la pobreza,ODS00100075,Meta 1n.2,Atención integral en la primera infancia,ODS001000750020,1n.2.2,Proporción de la población de un año de edad con esquema básico completo de vacunación,1064,1056,True,Nacional,Desglose por entidad federativa
