year,value,label,unit,source
2005,50.9,Coeficiente Gini,índice,worldbank
2006,49.7,Coeficiente Gini,índice,worldbank
2008,50.8,Coeficiente Gini,índice,worldbank
2010,47.7,Coeficiente Gini,índice,worldbank
2012,49.6,Coeficiente Gini,índice,worldbank
2014,48.9,Coeficiente Gini,índice,worldbank
2016,46.9,Coeficiente Gini,índice,worldbank
2018,46.0,Coeficiente Gini,índice,worldbank
2020,44.6,Coeficiente Gini,índice,worldbank
2022,43.5,Coeficiente Gini,índice,worldbank
